title,description,publishedAt,source,url,lat,lon
‘Attack shows sheer brutal violence is the new normal’,"Panaji: The assault on activist Rama Kankonkar in the state capital indicates that “sheer brutal violence” has become normal in the state, said Dr Osc.",2025-09-18T19:26:50Z,The Times of India,https://timesofindia.indiatimes.com/city/goa/attack-shows-sheer-brutal-violence-is-the-new-normal/articleshow/123984342.cms,,
British Sikh woman sexually assaulted in racially motivated attack near Birmingham,"A Sikh woman in the UK was brutally attacked. The incident occurred in Oldbury, near Birmingham. Police are investigating the rape as a racially aggravated crime. Attackers made racist remarks during the assault. Authorities are working to identify the perpet…",2025-09-13T08:50:57Z,The Times of India,https://economictimes.indiatimes.com/news/new-updates/british-sikh-woman-sexually-assaulted-in-racially-motivated-attack-near-birmingham/articleshow/123866853.cms,,
"Who is Robin Westman? Minneapolis school shooter used gun magazine having 'Kill Trump' 'Nuke India', 'Where is your God?' written on it","Minneapolis School Shooter: In a devastating act of gun violence, Robin Westman, a 23-year-old former student, carried out a fatal attack on Annunciation Catholic School in Minneapolis. The assault, which occurred during a back-to-school Mass, left two childr…",2025-08-28T01:07:49Z,The Times of India,https://economictimes.indiatimes.com/news/new-updates/minneapolis-shooting-who-is-robin-westman-minneapolis-school-shooter-used-gun-magazine-having-kill-trump-nuke-india-where-is-your-god-written-on-it/articleshow/123553549.cms,,
"Criminal on parole rapes Bronx woman, gives number to the victim, calls himself Romeo; arrested","In a shocking incident, Nicholas Dejesus, a recent parolee, was arrested for allegedly sexually assaulting a woman in the Bronx. Dejesus, who had been released in July 2025 after serving nine years for robbery, is accused of attacking the victim near West 230…",2025-09-18T08:51:13Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/criminal-on-parole-rapes-bronx-woman-gives-number-to-the-victim-calls-himself-romeo-arrested/articleshow/123970147.cms,,
Ukraine attacks major Russian refinery with big drone assault,"Ukraine launched a significant drone attack on Russia, targeting the Kirishi oil refinery and prompting a fire. Russia claims to have downed 361 Ukrainian drones and responded by firing a hypersonic missile during military exercises with Belarus. Amidst escal…",2025-09-14T10:34:31Z,The Times of India,https://economictimes.indiatimes.com/news/defence/ukraine-attacks-major-russian-refinery-with-big-drone-assault/articleshow/123881337.cms,,
Cameroon separatists claim deadly roadside attack that killed 7 soldiers,"Rest of World News: A deadly roadside bomb attack by separatists in southwestern Cameroon has claimed the lives of seven soldiers, marking a significant escalation in ongoing conflict in the region. The Fako Unity Warriors' responsibility for this attack unde…",2025-09-06T14:00:34Z,The Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/cameroon-separatists-claim-deadly-roadside-attack-that-killed-7-soldiers/articleshow/123736454.cms,,
Mass Russian drone and missile attack kills 4 and injures 24 in Ukraine's capital,"A major Russian attack struck Kyiv, resulting in casualties and widespread damage. The assault involved drones and missiles. Among the dead were children. Rescue operations are underway to find survivors. Numerous buildings suffered damage across several dist…",2025-08-28T04:15:15Z,The Times of India,https://economictimes.indiatimes.com/news/defence/mass-russian-drone-and-missile-attack-kills-4-and-injures-24-in-ukraines-capital/articleshow/123555714.cms,,
Billions lost as arsonists target big business; tycoons run for cover,"South Asia News: Nepal's protest movement tipped into large-scale economic violence, with mobs torching factories, supermarkets, banks and hotels in coordinated attack.",2025-09-11T03:56:06Z,The Times of India,https://timesofindia.indiatimes.com/world/south-asia/billions-lost-as-arsonists-target-big-business-tycoons-run-for-cover/articleshow/123821315.cms,,
"Five Bangladeshi students in NIT Silchar suspended for campus violence, to be deported",NIT Silchar has suspended five Bangladeshi students. These students are facing deportation. The reason is their alleged involvement in violent clashes on campus. Authorities also suspect them of possessing narcotics. An investigation revealed their active par…,2025-09-15T07:23:36Z,The Times of India,https://economictimes.indiatimes.com/news/india/five-bangladeshi-students-in-nit-silchar-suspended-for-campus-violence-to-be-deported/articleshow/123895252.cms,,
Russia hits seat of Ukraine govt in war's biggest air attack,"Russia launched its largest aerial assault on Ukraine, resulting in casualties and igniting a fire at Kyiv's government headquarters. The extensive strikes, involving drones and missiles, targeted infrastructure and residential areas, prompting international …",2025-09-07T11:53:08Z,The Times of India,https://economictimes.indiatimes.com/news/defence/russia-hits-seat-of-ukraine-govt-in-wars-biggest-air-attack/articleshow/123746892.cms,,
Wrestlers claim Raja Jackson’s attack on Skyo Stu was ‘premeditated’ and allege silence order from police,"The wrestling world is in turmoil following a brutal in-ring assault on Stuart ""Syko Stu"" Smith by Raja Jackson at a KnokX Pro Wrestling event. Witnesses allege the attack was premeditated, with management potentially suppressing cooperation with the ongoing …",2025-08-26T13:14:00Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/wrestlers-claim-raja-jacksons-attack-on-skyo-stu-was-premeditated-and-allege-silence-order-from-police/articleshow/123526966.cms,,
Three Uttar Pradesh cops among 4 hurt in attack by cattle smugglers,"In West Champaran, Bihar, a joint police team from Bihar and Uttar Pradesh was attacked by cattle smugglers while attempting to execute an arrest warrant. The assault, which occurred in Dahwa village, left four policemen critically injured, including three fr…",2025-09-19T12:20:44Z,The Times of India,https://timesofindia.indiatimes.com/city/patna/three-uttar-pradesh-cops-among-4-hurt-in-attack-by-cattle-smugglers/articleshow/123998859.cms,,
Champion jockey Silvestre de Sousa’s ex-wife Victoria charged with shocking assault after alleged attack before big race win,"Silvestre de Sousa's ex-wife, Victoria, faces assault charges for allegedly attacking the champion jockey in July. Prosecutors accuse the 39-year-old of wounding the 44-year-old rider with intent to cause serious harm. Despite the ongoing legal battle, Silves…",2025-08-27T23:22:37Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/champion-jockey-silvestre-de-sousas-ex-wife-victoria-charged-with-shocking-assault-after-alleged-attack-before-big-race-win/articleshow/123552793.cms,,
“Since his mom got murdered”: UFC legend Quinton Rampage Jackson reveals son Raja’s trauma after Syko Stu attack in LA,"Quinton ""Rampage"" Jackson has revealed the deep pain his son, Raja Jackson, carries following his mother's murder, after Raja's alleged assault on wrestler Stuart Smith. The incident, which occurred at a KnokX Pro event, led to an LAPD investigation and criti…",2025-08-29T19:30:53Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/since-his-mom-got-murdered-ufc-legend-quinton-rampage-jackson-reveals-son-rajas-trauma-after-syko-stu-attack-in-la/articleshow/123592036.cms,,
“I think he should do little jail time”: Quinton Rampage Jackson cuts off son Raja Jackson after Syko Stu assault in Los Angeles,"Ex-UFC champ Quinton “Rampage” Jackson wants his son jailed after Raja Jackson's brutal attack on wrestler Stuart “Syko Stu” Smith in Los Angeles. The assault, at a KnokX Pro Wrestling event, left Smith hospitalized with serious injuries. Rampage, who has cut…",2025-09-04T12:59:36Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/i-think-he-should-do-little-jail-time-quinton-rampage-jackson-cuts-off-son-raja-jackson-after-syko-stu-assault-in-los-angeles/articleshow/123700139.cms,,
"WWE Clash in Paris 2025 full results & highlights: Seth Rollins retains title with wife Becky Lynch's help, John Cena wins, Roman Reigns hospitalized & more","WWE Clash in Paris delivered a night of unforgettable moments, highlighted by Roman Reigns' victory over Bronson Reed and subsequent attack, leading to a brutal assault by Bron Breakker and Jey Uso's intervention. Seth Rollins retained his title in a chaotic …",2025-08-31T21:53:35Z,The Times of India,https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-clash-in-paris-2025-full-results-highlights-seth-rollins-retains-title-with-wife-becky-lynchs-help-john-cena-wins-roman-reigns-hospitalized-more/articleshow/123621887.cms,,
"Raja Jackson, Ex-UFC champion Rampage Jackson’s son, under LAPD lens for brutal attack on wrestler during event; shocking video emerges","Raja Jackson, son of Quinton ""Rampage"" Jackson, is under LAPD investigation for a violent attack on wrestler Syko Stu at a KnokX Pro event in Los Angeles. He reportedly continued assaulting Stu after he was KO'd, leading to hospitalization. Rampage Jackson ap…",2025-08-25T06:52:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/raja-jackson-ex-ufc-champion-rampage-jacksons-son-under-lapd-lens-for-brutal-attack-on-wrestler-during-event-shocking-video-emerges/articleshow/123496865.cms,,
"Manipur: Residents denounce murderous attack on Assam Rifles, hold protests","In Manipur's Bishnupur district, an ambush by unidentified gunmen resulted in the death of two Assam Rifles jawans and injuries to five others. Residents of Nambol Sabal Leikai strongly condemned the attack, holding protests and demanding safety.",2025-09-20T14:12:02Z,The Times of India,https://economictimes.indiatimes.com/news/india/manipur-residents-denounce-murderous-attack-on-assam-rifles-hold-protests/articleshow/124016776.cms,,
“The sh*t that needs to stop”: Antonio Brown condemns political violence following Charlie Kirk’s tragic death,"Antonio Brown voiced his concern over the attack on Charlie Kirk and the increasing political hostility in the U.S. He shared his own experiences of being targeted for his beliefs, emphasizing the risks associated with expressing personal or political views. …",2025-09-11T00:01:17Z,The Times of India,https://timesofindia.indiatimes.com/sports/nfl/news/the-sht-that-needs-to-stop-antonio-brown-condemns-political-violence-following-charlie-kirks-tragic-death/articleshow/123819228.cms,,
Hamas warns hostages face fate of missing pilot if Israel assault continues,"Hamas' armed wing released unsettling ""farewell"" photographs of remaining Gaza hostages, cautioning that Israel's Gaza City assault endangers them. Referencing missing Israeli pilot Ron Arad, the group blamed Netanyahu's actions for the hostages' peril. Israe…",2025-09-20T14:07:31Z,The Times of India,https://economictimes.indiatimes.com/news/defence/hamas-warns-hostages-face-fate-of-missing-pilot-if-israel-assault-continues/articleshow/124016724.cms,,
Assam Rifles jawan killed in attack in Manipur,"In Manipur, Assam Rifles faced an attack by gunmen in Bishnupur district. One soldier died, another was injured. Security forces have intensified operations, recovering arms and ammunition in Churachandpur, Chandel, and Tengnoupal. Earlier, Prime Minister Nar…",2025-09-19T14:52:17Z,The Times of India,https://economictimes.indiatimes.com/news/india/assam-rifles-jawan-killed-in-attack-in-manipur/articleshow/124001078.cms,,
Drones attack Russia's oil loading Primorsk port for first time,"A drone attack struck Russia's Primorsk port, igniting a vessel and pumping station, marking the first assault on a major oil export terminal. Ukraine has intensified attacks on Russian energy infrastructure since August, while Russia's crude export plans hav…",2025-09-12T09:47:46Z,The Times of India,https://economictimes.indiatimes.com/news/defence/drones-attack-russias-oil-loading-primorsk-port-for-first-time/articleshow/123849155.cms,,
"""It’s going to get a lot worse"": Joe Rogan reacts to Charlie Kirk’s shooting, says attack could lead to violent conflict","Joe Rogan has voiced concerns over the Charlie Kirk shooting incident, cautioning about potential widespread unrest. On his podcast, Rogan emphasized that such violence against public figures could ignite broader conflict, particularly among devoted followers…",2025-09-12T09:32:31Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/its-going-to-get-a-lot-worse-joe-rogan-reacts-to-charlie-kirks-shooting-says-attack-could-lead-to-violent-conflict/articleshow/123848431.cms,,
"EU and UK offices struck, 18 killed as Russian air strikes pound Ukraine","At least 18 people, including four children, were killed in the capital, officials from the city administration said. As the sun rose, rescuers dug through a wrecked block on Kyiv's left bank and pulled at least two bodies from the rubble. The strikes damaged…",2025-08-28T17:50:03Z,The Times of India,https://economictimes.indiatimes.com/news/defence/eu-and-uk-offices-struck-18-killed-as-russian-air-strikes-pound-ukraine/articleshow/123569721.cms,,
"'Dark moment for America': Trump accuses ""radical left"" in address to nation after Charlie Kirk's death",Donald Trump called the killing of Charlie Kirk a dark moment. He accused the radical left of inciting violence. Trump paid tribute to Kirk as a patriot. He expressed condolences to Kirk's family. Kirk was fatally shot in Utah. Trump condemned the demonizatio…,2025-09-11T03:25:54Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/dark-moment-for-america-trump-accuses-radical-left-in-address-to-nation-after-charlie-kirks-death/articleshow/123820967.cms,,
‘No person is more responsible for it than Donald Trump’: US President’s niece Mary blames him for the political climate behind Charlie Kirk’s murder,"Following Charlie Kirk's assassination, Mary Trump accused Donald Trump of inciting political violence. She cited his rhetoric and pardons as evidence. President Trump called Kirk a martyr and blamed the radical left. Mary Trump highlighted the Republican Par…",2025-09-12T09:21:12Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/no-person-is-more-responsible-for-it-than-donald-trump-us-presidents-niece-mary-blames-him-for-the-political-climate-behind-charlie-kirks-murder/articleshow/123848551.cms,,
Nation on edge: Experts warn of 'vicious spiral' in political violence after Kirk killing,"The assassination of Charlie Kirk, a prominent right-wing influencer, has ignited fears of escalating political violence in the U.S. Experts cite economic insecurity, demographic shifts, and inflammatory rhetoric as contributing factors. With politically moti…",2025-09-11T01:41:42Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/nation-on-edge-experts-warn-of-vicious-spiral-in-political-violence-after-kirk-killing/articleshow/123819750.cms,,
"Viral video shows ‘WWE match’ at Walmart, mob of women, one holding a baby, beat an employee","A Walmart employee, Tikerra Hicks, was attacked in Indianapolis. The incident occurred on August 29, 2025. A group of women assaulted her in a checkout aisle. The attack may be a case of mistaken identity. Hicks stated it was related to a past accusation. Soc…",2025-09-01T08:39:27Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/viral-video-shows-wwe-match-at-walmart-mob-of-women-one-holding-a-baby-beat-an-employee/articleshow/123630702.cms,,
"Robin Westman’s disturbing manifesto video preceded Minneapolis Annunciation Church shooting, killing two children","In Minneapolis, Robin Westman attacked Annunciation Catholic Church. The shooting occurred during a Mass. Two children died, and seventeen others sustained injuries. Westman, who had a history of mental health issues, posted a manifesto online. The manifesto …",2025-08-27T22:27:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/robin-westmans-disturbing-manifesto-video-preceded-minneapolis-annunciation-church-shooting-killing-two-children/articleshow/123552368.cms,,
"EU says Israel's Gaza City assault spells 'death', 'destruction'","The European Union has warned Israel that its ground assault on Gaza City will exacerbate the already catastrophic humanitarian situation, leading to more death, destruction, and displacement. Brussels is expected to propose measures against Israel, including…",2025-09-16T18:39:07Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/eu-says-israels-gaza-city-assault-spells-death-destruction/articleshow/123928831.cms,,
Trump's close ally Charlie Kirk fatally shot in act of 'political assassination' at Utah college,"Conservative activist Charlie Kirk was fatally shot at a Utah college event, prompting a political assassination claim by the governor. The shooting occurred during a debate on gun violence, sparking bipartisan condemnation and raising concerns about escalati…",2025-09-11T00:44:34Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/trumps-close-ally-charlie-kirk-fatally-shot-in-act-of-political-assassination-at-utah-college/articleshow/123819466.cms,,
"How serious is Rudy Giuliani's injuries, is he out of danger? Here's what reports say","Rudy Giuliani, the former New York City mayor, is recovering in a New Hampshire hospital after a car accident on Saturday night. The accident occurred after Giuliani assisted a woman in a domestic violence situation on Interstate 93. He sustained a broken ver…",2025-09-01T12:10:12Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/how-serious-is-rudy-giulianis-injuries-is-he-out-of-danger-heres-what-reports-say/articleshow/123634996.cms,,
"Trump hints at motive in Charlie Kirk killing, calls shooter ‘animal’","Conservative activist Charlie Kirk was fatally shot at Utah Valley University on Sept. 10. Investigators recovered a rifle and evidence but have not confirmed a motive. President Donald Trump called the shooter ‘an animal’ and hinted at knowing the motive, wh…",2025-09-12T01:32:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/trump-hints-at-motive-in-charlie-kirk-killing-calls-shooter-animal/articleshow/123840992.cms,,
Yordanis Cobos-Martinez criminal history: Dallas motel beheading suspect's violent past,"Yordanis Cobos-Martinez, 37, charged with beheading Dallas motel manager, has extensive criminal history including carjacking, assault charges. Cuban immigrant was released from ICE custody in January, 2025 after Cuba refused repatriation due to criminal reco…",2025-09-12T04:49:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/yordanis-cobos-martinez-criminal-history-dallas-motel-beheading-suspects-violent-past/articleshow/123843235.cms,,
"Indian man beheaded in front of son and wife in Texas shows disturbing viral video. Here's all about victim Chandra Nagamallaiah, killer, gruesome attack","Indian man beheaded in front of son and wife in Texas shows disturbing viral video after an argument over a washing machine. The accused, a Cuban national with a criminal past, was arrested.",2025-09-12T11:52:26Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/indian-man-beheaded-in-front-of-son-and-wife-in-texas-shows-disturbing-viral-video-argument-over-washing-machine-led-to-attack-chandra-nagamallaiah-motel-manager-downtown-suites-motel-in-dallas-accused-cuban-national-yordanis-cobos-martinez-indian-governments-response/articleshow/123851634.cms,,
Indian NGO urges UNHRC to hold sponsors of Pahalgam terror attack accountable,"Sambhali Trust, an Indian NGO, has appealed to the UN Human Rights Council to ensure accountability for the April 22 terror attack in Pahalgam, where 26 civilians were killed. The trust's representative, Hansraj Singh, stated that the attack was perpetrated b…",2025-09-19T12:51:41Z,The Times of India,https://economictimes.indiatimes.com/news/india/indian-ngo-urges-unhrc-to-hold-sponsors-of-pahalgam-terror-attack-accountable/articleshow/123999461.cms,,
Boko Haram militants kill 60 in attack in Nigeria's northeast,"Boko Haram militants have killed at least 60 people in a nighttime attack on Darul Jamal village in northeastern Nigeria, targeting residents recently returned from an IDP camp. Borno State Governor Babagana Zulum confirmed the deaths and urged residents not …",2025-09-07T19:01:27Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/boko-haram-militants-kill-60-in-attack-in-nigerias-northeast/articleshow/123751943.cms,,
Israeli attack grave escalation: Qatari PM,"Qatar's Prime Minister condemned the Israeli attack on Doha as ""state terrorism"" and a violation of sovereignty, threatening regional peace. He affirmed Qatar's commitment to mediation efforts with Egypt and the U.S. The assault, resulting in civilian casualt…",2025-09-15T03:36:57Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/israeli-attack-grave-escalation-qatari-pm/articleshow/123891241.cms,,
A Houthi drone strikes an Israeli airport in a rare hit as Israel steps up Gaza City attacks,"Yemen's Houthi rebels escalated attacks on Israel, striking Ramon Airport and prompting flight diversions after Israeli strikes killed a Houthi leader. Meanwhile, Israel intensified its Gaza offensive, leveling another high-rise and urging evacuations, even a…",2025-09-08T03:00:48Z,The Times of India,https://economictimes.indiatimes.com/news/defence/a-houthi-drone-strikes-an-israeli-airport-in-a-rare-hit-as-israel-steps-up-gaza-city-attacks/articleshow/123756133.cms,,
Get AI-certified by IITM Pravartak and IBM: Learn skills that employers want,Spotlight News: IITM Pravartak is the technology innovation hub of IIT Madras.,2025-09-08T10:02:16Z,The Times of India,https://timesofindia.indiatimes.com/spotlight/harness-the-future-of-technology-with-ai-and-ml-mastery-from-this-programme-by-iitm-pravartak/articleshow/118107365.cms,,
"Australia Unites protests complains of cost of living, and Indigenous groups protest over racism on Saturday: police warn of violence between rival groups at nationwide rallies","Australian police prepare for potential violence as Australia Unites protesters and Indigenous activist groups plan separate rallies Saturday, September 13. Victoria police deploy extra officers following previous clashes between far-right and far-left demons…",2025-09-13T03:30:59Z,The Times of India,https://economictimes.indiatimes.com/news/international/australia/australia-unites-protests-complains-of-cost-of-living-and-indigenous-groups-protest-over-racism-on-saturday-police-warn-of-violence-between-rival-groups-at-nationwide-rallies/articleshow/123862821.cms,,
Three dead as Russia launches large-scale attack on Ukraine,"Europe News: KYIV: Russia launched a large-scale missile and drone attack targeting regions across Ukraine on early Saturday, killing at least three people and wou.",2025-09-20T19:51:46Z,The Times of India,https://timesofindia.indiatimes.com/world/europe/three-dead-as-russia-launches-large-scale-attack-on-ukraine/articleshow/124020887.cms,,
"Social media users comments on Charlie Kirk death will shock you and touch your heart. Check out most moving posts, viral gun violence comments video, tributes","Social media users comments on Charlie Kirk death will shock you and touch your heart. Tributes, old family videos, and reactions from Donald Trump and others surfaced after the Utah Valley University shooting.",2025-09-11T00:57:53Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/social-media-users-comments-on-charlie-kirk-death-will-shock-you-and-touch-your-heart-tributes-reactions-conservative-activist-shot-utah-valley-university-emotional-family-videos-death-grief-debate-gun-laws-condolences-donald-trump/articleshow/123819393.cms,,
"Army must rebuild ties with Gujjar, Bakerwal tribes to prevent intelligence gap on ground, say experts",A shift in terror tactics towards higher ridges in Jammu and Kashmir necessitates a review of security strategies and a restoration of trust with the Gujjar and Bakerwal communities. Incidents like the Kathua rape case and the Topa Pir killings have eroded th…,2025-09-21T06:48:10Z,The Times of India,https://economictimes.indiatimes.com/news/defence/army-must-rebuild-ties-with-gujjar-bakerwal-tribes-to-prevent-intelligence-gap-on-ground-say-experts/articleshow/124025034.cms,,
"Nepal at crossroads, bid to establish people's rule may get dashed before it truly began: Analysts","Nepal faces political instability after the government's collapse. Protests and violence erupted, leading to army intervention. Analysts suggest potential solutions beyond the existing constitution. Options include an interim government or a complete constitu…",2025-09-11T03:27:35Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/nepal-at-crossroads-bid-to-establish-peoples-rule-may-get-dashed-before-it-truly-began-analysts/articleshow/123820990.cms,,
Shooting attack on Jerusalem bus kills 4,A tragic shooting incident occurred in Jerusalem. Attackers opened fire on a bus at a busy intersection. Initial reports confirm at least four fatalities. Fifteen individuals sustained injuries in the attack. Security forces neutralized two attackers soon aft…,2025-09-08T08:07:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/shooting-attack-on-jerusalem-bus-kills-4/articleshow/123761160.cms,,
"Escaped murderous assault from Tihar inmates, alleges LS MP Engineer Rashid","Engineer Rashid, a jailed Lok Sabha member, claims he survived an attack in Tihar jail. He alleges a plot against Kashmiri inmates. Rashid's party demands an investigation. He reports that inmates with HIV are placed in their barracks to instigate attacks. Ot…",2025-09-05T19:01:19Z,The Times of India,https://economictimes.indiatimes.com/news/politics-and-nation/escaped-murderous-assault-from-tihar-inmates-alleges-ls-mp-engineer-rashid/articleshow/123725264.cms,,
9/11: Why did Osama bin Laden attack the United States?,"The 9/11 attacks, a culmination of escalating tensions between Osama bin Laden and the U.S., were rooted in grievances over American presence in Saudi Arabia, sanctions on Iraq, and support for Israel. Bin Laden's ideology framed the killing of Americans as a…",2025-09-11T06:09:06Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/9/11-why-did-osama-bin-laden-attack-the-united-states/articleshow/123823519.cms,,
‘Will pay for it’: WWE legend Jeff Jarrett blasts Raja Jackson for brutal attack on wrestler during event in Los Angeles,"Raja Jackson assaulted a wrestler at a Los Angeles event. WWE Hall of Famer Jeff Jarrett condemned the act. He said Jackson will 'pay for it.' The LAPD is investigating the incident. Rampage Jackson, Raja's father, reported receiving threats. Raja is banned f…",2025-09-01T19:34:32Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/will-pay-for-it-wwe-legend-jeff-jarrett-blasts-raja-jackson-for-brutal-attack-on-wrestler-during-event-in-los-angeles/articleshow/123643098.cms,,
Streaming platform Kick bans Raja Jackson after brutal 20-punch assault on Syko Stu. All about Quinton Rampage's son,"Raja Jackson, son of MMA legend Quinton “Rampage” Jackson, is facing severe backlash after a disturbing video surfaced showing him brutally attacking wrestler Syko Stu during a Knokx Pro Wrestling event. The incident, streamed live on Kick, led to Jackson's b…",2025-08-24T13:52:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-streaming-platform-kick-bans-raja-jackson-after-brutal-20-punch-assault-on-syko-stu-all-about-quinton-rampages-son/articleshow/123485011.cms,,
At least 60 people were killed in an overnight rebel attack in eastern Congo,"In eastern Congo, a brutal attack has claimed the lives of at least 60 individuals. The Allied Democratic Force, linked to the Islamic State, reportedly carried out the assault in Ntoyo, North Kivu. The victims were gathered for a burial when the rebels struc…",2025-09-09T09:43:07Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/at-least-60-people-were-killed-in-an-overnight-rebel-attack-in-eastern-congo/articleshow/123783582.cms,,
British PIO woman says 'raped' by two white men in West Midlands,"India News: LONDON: A British-born Sikh woman in her 20s was sexually assaulted, raped and beaten in a racially motivated attack on Tuesday in Oldbury, near Birmi.",2025-09-12T20:15:26Z,The Times of India,https://timesofindia.indiatimes.com/india/british-pio-woman-says-raped-by-two-white-men-in-west-midlands/articleshow/123859330.cms,,
Poland scrambles fighter jets after Russia launches massive aerial attack on Ukraine,"Poland and allied military aircraft were scrambled Saturday, September 20, after Russia launched a massive aerial assault on Ukraine near Poland's western border. The attack included 579 drones and missiles, killing eight people and injuring at least 32 over …",2025-09-20T20:49:16Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/poland-scrambles-fighter-jets-after-russia-launches-massive-aerial-attack-on-ukraine/articleshow/124021006.cms,,
Why did Minneapolis school shooter choose August 27 for the deadly attack? Disturbing manifesto reveals reason,"The Minneapolis school attacker chose August 27 to open fire outside of a church at a Catholic school killing two children, aged eight and ten, and injuring dozens. The shooter Robin Westman wanted to kill as many children possible, the disturbing manifesto u…",2025-08-29T16:07:06Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-why-did-minneapolis-school-shooter-choose-august-27-for-the-deadly-attack-disturbing-manifesto-reveals-reason/articleshow/123588174.cms,,
Qatar official says Netanyahu 'killed any hope' of hostage release with its strike in Doha on Hamas,"Qatar's prime minister has strongly criticized Israel's attack targeting Hamas leaders, asserting that it jeopardizes hostage release efforts. Sheikh Mohammed bin Abdulrahman Al Thani believes Netanyahu's actions have undermined any hope for the hostages' fre…",2025-09-11T06:27:07Z,The Times of India,https://economictimes.indiatimes.com/news/defence/qatar-official-says-netanyahu-killed-any-hope-of-hostage-release-with-its-strike-in-doha-on-hamas/articleshow/123823899.cms,,
